연령대,성별,가장_최근_여름_휴가,휴가_장소_국내_해외,휴가_장소,주요_교통수단,휴가_기간,함께한_사람,총_비용,만족도,다음_희망_휴가
50대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,대구,자동차,4~6일,가족,100만 원~200만 원,매우 만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
20대,남성,"해수욕, 물놀이 (바다/섬 여행)",해외,오세아니아,자동차,2~3일,친구,10만~30만 원,만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
40대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,대구,배(선박),1일,가족,100만 원~200만 원,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
30대,여성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,대구,자동차,15일 이상,가족,100만 원~200만 원,불만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
30대,남성,"문화생활 (전시, 공연, 역사 탐방, 축제 등)",해외,동아시아,자동차,2~3일,가족,30만~50만 원,보통,친척·지인 방문
60대 이상,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,울산,자동차,15일 이상,가족,200만 원 이상,만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
40대,남성,친척·지인 방문,국내,강원,자동차,15일 이상,가족,10만~30만 원,만족,"해수욕, 물놀이 (바다/섬 여행)"
40대,여성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,충남,자동차,4~6일,가족,50만~100만 원,만족,친척·지인 방문
20대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,광주,항공편,7일~ 15일,가족,100만 원~200만 원,보통,친척·지인 방문
60대 이상,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,세종,자동차,4~6일,가족,100만 원~200만 원,보통,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
30대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,대구,항공편,4~6일,친구,30만~50만 원,보통,"해수욕, 물놀이 (바다/섬 여행)"
10대,남성,친척·지인 방문,국내,강원,배(선박),4~6일,연인,50만~100만 원,불만족,기타(결측치 처리)
40대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,전북,자동차,4~6일,가족,100만 원~200만 원,만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
60대 이상,남성,친척·지인 방문,국내,전남,자동차,4~6일,혼자,50만~100만 원,보통,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
10대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,전남,자동차,7일~ 15일,친구,30만~50만 원,매우 불만족,"해수욕, 물놀이 (바다/섬 여행)"
30대,남성,친척·지인 방문,국내,인천,자동차,2~3일,가족,50만~100만 원,불만족,기타(결측치 처리)
10대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,경남,자동차,1일,친구,10만~30만 원,보통,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
50대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,울산,자동차,7일~ 15일,가족,200만 원 이상,매우 만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
60대 이상,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,충북,자동차,7일~ 15일,직장 동료,30만~50만 원,만족,"해수욕, 물놀이 (바다/섬 여행)"
50대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,충북,자동차,2~3일,직장 동료,30만~50만 원,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
30대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,서울,자동차,4~6일,가족,50만~100만 원,만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
40대,남성,"문화생활 (전시, 공연, 역사 탐방, 축제 등)",해외,북미,도보,15일 이상,기타(결측치 처리),200만 원 이상,매우 만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
20대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,전남,자동차,4~6일,연인,30만~50만 원,만족,기타(결측치 처리)
60대 이상,남성,"문화생활 (전시, 공연, 역사 탐방, 축제 등)",국내,제주,자동차,4~6일,동호회,10만 원 이하,보통,기타(결측치 처리)
20대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",해외,북미,도보,2~3일,혼자,30만~50만 원,만족,"해수욕, 물놀이 (바다/섬 여행)"
20대,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,경북,도보,4~6일,직장 동료,50만~100만 원,매우 만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
30대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,인천,자동차,4~6일,가족,50만~100만 원,매우 만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
40대,여성,친척·지인 방문,국내,대구,자동차,4~6일,가족,100만 원~200만 원,만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
40대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,경북,자동차,7일~ 15일,가족,200만 원 이상,매우 만족,"해수욕, 물놀이 (바다/섬 여행)"
40대,여성,친척·지인 방문,해외,오세아니아,자동차,15일 이상,가족,50만~100만 원,만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
30대,남성,"해수욕, 물놀이 (바다/섬 여행)",국내,부산,자동차,7일~ 15일,가족,200만 원 이상,매우 불만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
20대,여성,"해수욕, 물놀이 (바다/섬 여행)",해외,아프리카,기차,2~3일,가족,10만~30만 원,불만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
30대,여성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,인천,자동차,2~3일,가족,100만 원~200만 원,보통,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
20대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,충남,항공편,4~6일,연인,30만~50만 원,만족,"해수욕, 물놀이 (바다/섬 여행)"
60대 이상,여성,기타(결측치 처리),국내,충남,자동차,7일~ 15일,직장 동료,30만~50만 원,불만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
20대,남성,"해수욕, 물놀이 (바다/섬 여행)",해외,오세아니아,항공편,4~6일,가족,30만~50만 원,보통,"도시 관광 (쇼핑, 카페, 시내 구경)"
20대,남성,"해수욕, 물놀이 (바다/섬 여행)",해외,동유럽,기차,2~3일,연인,10만~30만 원,매우 만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
40대,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,대구,자동차,15일 이상,가족,30만~50만 원,만족,친척·지인 방문
30대,남성,"해수욕, 물놀이 (바다/섬 여행)",국내,전북,자동차,4~6일,친구,100만 원~200만 원,만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
30대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,대구,자동차,2~3일,가족,100만 원~200만 원,만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
50대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,대전,자동차,15일 이상,혼자,50만~100만 원,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
30대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,전남,자동차,2~3일,가족,30만~50만 원,보통,"해수욕, 물놀이 (바다/섬 여행)"
30대,남성,"도시 관광 (쇼핑, 카페, 시내 구경)",해외,오세아니아,자동차,2~3일,가족,30만~50만 원,만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
30대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,대전,자동차,4~6일,가족,30만~50만 원,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
50대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,전남,자동차,2~3일,혼자,30만~50만 원,매우 불만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
20대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,세종,도보,2~3일,직장 동료,30만~50만 원,만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
20대,남성,"해수욕, 물놀이 (바다/섬 여행)",해외,서유럽,항공편,2~3일,혼자,30만~50만 원,만족,친척·지인 방문
40대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,전남,자동차,4~6일,가족,10만 원 이하,매우 만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
20대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,충남,기차,2~3일,연인,10만 원 이하,만족,"해수욕, 물놀이 (바다/섬 여행)"
20대,여성,"도시 관광 (쇼핑, 카페, 시내 구경)",국내,경북,기차,4~6일,친구,30만~50만 원,만족,기타(결측치 처리)
30대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,울산,항공편,4~6일,가족,10만 원 이하,보통,"해수욕, 물놀이 (바다/섬 여행)"
20대,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,세종,자동차,2~3일,연인,30만~50만 원,매우 만족,기타(결측치 처리)
30대,여성,친척·지인 방문,국내,부산,버스,4~6일,동호회,100만 원~200만 원,매우 만족,"해수욕, 물놀이 (바다/섬 여행)"
50대,여성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,서울,자동차,4~6일,가족,100만 원~200만 원,만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
30대,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",해외,중동,자동차,2~3일,혼자,50만~100만 원,보통,"도시 관광 (쇼핑, 카페, 시내 구경)"
30대,여성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,경남,항공편,2~3일,가족,10만 원 이하,매우 만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
20대,남성,"도시 관광 (쇼핑, 카페, 시내 구경)",해외,동아시아,기차,2~3일,연인,10만~30만 원,매우 불만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
40대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,대구,버스,4~6일,직장 동료,50만~100만 원,보통,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
10대,남성,"해수욕, 물놀이 (바다/섬 여행)",해외,오세아니아,자동차,2~3일,가족,10만 원 이하,매우 만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
30대,남성,"해수욕, 물놀이 (바다/섬 여행)",국내,경북,자동차,2~3일,친구,10만~30만 원,만족,"해수욕, 물놀이 (바다/섬 여행)"
30대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,제주,자동차,4~6일,가족,100만 원~200만 원,만족,기타(결측치 처리)
40대,남성,친척·지인 방문,국내,전남,자동차,4~6일,연인,200만 원 이상,매우 불만족,"해수욕, 물놀이 (바다/섬 여행)"
30대,여성,친척·지인 방문,해외,중동,항공편,15일 이상,가족,100만 원~200만 원,만족,친척·지인 방문
40대,여성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,강원,버스,15일 이상,가족,100만 원~200만 원,매우 만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
20대,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,울산,항공편,4~6일,연인,50만~100만 원,매우 만족,친척·지인 방문
10대,남성,"해수욕, 물놀이 (바다/섬 여행)",국내,울산,도보,2~3일,가족,10만 원 이하,만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
40대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,경남,자동차,7일~ 15일,가족,10만~30만 원,매우 만족,기타(결측치 처리)
30대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,전북,자동차,2~3일,연인,30만~50만 원,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
50대,여성,기타(결측치 처리),국내,제주,자동차,4~6일,가족,200만 원 이상,만족,친척·지인 방문
40대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,광주,자동차,7일~ 15일,가족,100만 원~200만 원,매우 불만족,기타(결측치 처리)
10대,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,충남,항공편,15일 이상,혼자,10만 원 이하,매우 만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
20대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,인천,도보,2~3일,연인,50만~100만 원,매우 만족,기타(결측치 처리)
40대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,울산,기차,2~3일,동호회,50만~100만 원,만족,기타(결측치 처리)
50대,여성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,충북,자동차,4~6일,가족,200만 원 이상,매우 만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
20대,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,충북,기차,4~6일,친구,30만~50만 원,만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
20대,남성,친척·지인 방문,국내,전남,항공편,4~6일,친구,10만~30만 원,매우 만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
40대,남성,"도시 관광 (쇼핑, 카페, 시내 구경)",국내,강원,버스,1일,동호회,30만~50만 원,보통,친척·지인 방문
30대,여성,"문화생활 (전시, 공연, 역사 탐방, 축제 등)",국내,부산,자동차,7일~ 15일,가족,100만 원~200만 원,보통,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
50대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,서울,자동차,15일 이상,가족,200만 원 이상,보통,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
30대,남성,친척·지인 방문,국내,광주,버스,4~6일,가족,50만~100만 원,보통,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
20대,여성,"도시 관광 (쇼핑, 카페, 시내 구경)",국내,경남,자동차,2~3일,가족,10만 원 이하,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
60대 이상,여성,친척·지인 방문,국내,서울,자동차,2~3일,직장 동료,10만 원 이하,만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
20대,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,경남,자동차,4~6일,친구,30만~50만 원,불만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
20대,여성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",해외,오세아니아,도보,4~6일,연인,10만~30만 원,매우 만족,"맛집 투어 (맛집 탐방, 지역 특산물 체험)"
60대 이상,남성,친척·지인 방문,국내,대전,자동차,7일~ 15일,가족,50만~100만 원,매우 불만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
20대,남성,"도시 관광 (쇼핑, 카페, 시내 구경)",국내,제주,자동차,7일~ 15일,친구,30만~50만 원,매우 만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
50대,여성,기타(결측치 처리),국내,경북,자동차,7일~ 15일,가족,50만~100만 원,매우 만족,친척·지인 방문
50대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,강원,자동차,15일 이상,가족,10만~30만 원,만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
10대,남성,"도시 관광 (쇼핑, 카페, 시내 구경)",국내,충북,자동차,7일~ 15일,가족,10만 원 이하,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
20대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",해외,북미,항공편,4~6일,연인,100만 원~200만 원,만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
60대 이상,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,광주,자동차,2~3일,가족,30만~50만 원,매우 만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
20대,남성,"문화생활 (전시, 공연, 역사 탐방, 축제 등)",국내,광주,자동차,2~3일,가족,100만 원~200만 원,매우 불만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
50대,여성,친척·지인 방문,국내,경남,자동차,7일~ 15일,가족,10만~30만 원,보통,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
30대,여성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,서울,자동차,4~6일,가족,200만 원 이상,만족,"해수욕, 물놀이 (바다/섬 여행)"
40대,남성,"문화생활 (전시, 공연, 역사 탐방, 축제 등)",국내,울산,버스,15일 이상,가족,100만 원~200만 원,만족,친척·지인 방문
60대 이상,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,충남,자동차,1일,직장 동료,100만 원~200만 원,매우 만족,"해수욕, 물놀이 (바다/섬 여행)"
30대,여성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,경북,자동차,2~3일,연인,50만~100만 원,보통,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
30대,남성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,전북,자동차,4~6일,가족,100만 원~200만 원,만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
40대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,전북,자동차,7일~ 15일,가족,30만~50만 원,매우 만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
20대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,충남,항공편,2~3일,혼자,30만~50만 원,만족,친척·지인 방문
60대 이상,남성,"문화생활 (전시, 공연, 역사 탐방, 축제 등)",국내,인천,자동차,2~3일,동호회,10만~30만 원,불만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
30대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,서울,자동차,15일 이상,가족,30만~50만 원,불만족,"해수욕, 물놀이 (바다/섬 여행)"
40대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,전남,버스,2~3일,가족,100만 원~200만 원,만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
50대,여성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",해외,오세아니아,기차,4~6일,가족,200만 원 이상,보통,"해수욕, 물놀이 (바다/섬 여행)"
20대,여성,"맛집 투어 (맛집 탐방, 지역 특산물 체험)",국내,서울,자동차,2~3일,친구,30만~50만 원,보통,기타(결측치 처리)
50대,여성,기타(결측치 처리),해외,오세아니아,항공편,4~6일,직장 동료,200만 원 이상,만족,기타(결측치 처리)
20대,남성,"도시 관광 (쇼핑, 카페, 시내 구경)",국내,세종,버스,7일~ 15일,연인,30만~50만 원,매우 만족,"휴양·힐링 (스파, 리조트, 펜션 휴식)"
30대,남성,"문화생활 (전시, 공연, 역사 탐방, 축제 등)",국내,광주,자동차,2~3일,가족,30만~50만 원,보통,"해수욕, 물놀이 (바다/섬 여행)"
40대,남성,친척·지인 방문,국내,제주,자동차,2~3일,가족,200만 원 이상,만족,"해수욕, 물놀이 (바다/섬 여행)"
20대,남성,"도시 관광 (쇼핑, 카페, 시내 구경)",국내,충북,자동차,2~3일,친구,50만~100만 원,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
30대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,충북,자동차,4~6일,가족,50만~100만 원,만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
10대,여성,"문화생활 (전시, 공연, 역사 탐방, 축제 등)",해외,동남아시아,항공편,1일,가족,10만 원 이하,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
30대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,부산,자동차,15일 이상,가족,50만~100만 원,만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
20대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,경남,항공편,7일~ 15일,혼자,50만~100만 원,보통,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
10대,여성,친척·지인 방문,국내,부산,버스,2~3일,혼자,30만~50만 원,만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
50대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,대전,자동차,4~6일,직장 동료,50만~100만 원,매우 불만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
40대,남성,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)",국내,대전,자동차,4~6일,가족,200만 원 이상,보통,"해수욕, 물놀이 (바다/섬 여행)"
20대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,전남,자동차,4~6일,친구,100만 원~200만 원,매우 만족,"문화생활 (전시, 공연, 역사 탐방, 축제 등)"
30대,여성,친척·지인 방문,국내,전남,자동차,4~6일,가족,50만~100만 원,매우 만족,"해수욕, 물놀이 (바다/섬 여행)"
30대,남성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",해외,북미,자동차,4~6일,가족,30만~50만 원,보통,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
50대,여성,친척·지인 방문,국내,서울,자동차,2~3일,직장 동료,50만~100만 원,만족,기타(결측치 처리)
20대,여성,"해수욕, 물놀이 (바다/섬 여행)",국내,전남,자동차,2~3일,가족,10만 원 이하,보통,"해수욕, 물놀이 (바다/섬 여행)"
30대,여성,"휴양·힐링 (스파, 리조트, 펜션 휴식)",국내,제주,도보,4~6일,연인,10만~30만 원,매우 만족,"등산, 캠핑 등 아웃도어 활동 (산/계곡 여행)"
30대,여성,"해수욕, 물놀이 (바다/섬 여행)",해외,동남아시아,자동차,4~6일,가족,50만~100만 원,보통,친척·지인 방문
40대,남성,"도시 관광 (쇼핑, 카페, 시내 구경)",국내,경남,자동차,7일~ 15일,가족,200만 원 이상,만족,"도시 관광 (쇼핑, 카페, 시내 구경)"
